HPO编号	主分类(中文)	名称(英文)	定义(英文)	中文译名	中文定义
HP:0009714	泌尿生殖系统异常	Abnormality of the epididymis	An abnormality of the `epididymis` (FMA:18255).	附睾异常	附睾的异常。
HP:0009715	肿瘤,泌尿生殖系统异常	Papillary cystadenoma of the epididymis	The presence of a `papillary cystadenoma` (MPATH:298) of the `epididymis` (FMA:18255).	附睾乳头状囊腺瘤	附睾形成的乳头状囊腺瘤。
HP:0009716	肿瘤,神经系统异常	Subependymal nodules	Small nodular masses which originate in the subependymal region of the lateral ventricles and protrude into the ventricular cavity. They may represent subependymal hamartomas of tuberous sclerosis or nodular heterotopia of grey matter.	室管膜下结节	小结节性肿物发源于侧脑室室管膜下区并突入脑室腔。它们可能代表结节性硬化症的室管膜下错构瘤或灰质的结节样异位。
HP:0009717	肿瘤,神经系统异常	Cortical tubers	Cortical tubers in the brain are hamartomatous lesions typically located at the gray-white matter interface, commonly in the frontal and parietal lobes. Cortical tubers are composed of abnormal glial and neural cells, and the size, number, and location vary among patients.	皮质结节	大脑皮质结节是错构瘤性病变，典型病灶位于灰白质交界区，通常位于额叶和顶叶。皮质结节由异常的神经胶质和神经细胞组成，不同患者中皮质结节的大小，数量，和位置差异很大。
HP:0009718	肿瘤,神经系统异常	Subependymal giant-cell astrocytoma	A demarcated, largely intraventricular tumor in the region of the foramen of Monro composed of spindle to large plump or ganglion-like cells with eosinophilic to amphophilic cytoplasm and somewhat pleomorphic nuclei with occasional prominent nucleoli. These tumors are almost always associated with tuberous sclerosis.	室管膜下巨细胞星形细胞瘤	界限清楚的、主要位于脑室内Moron孔区的肿瘤，主要由纺锤形、大而饱满或神经节细胞样嗜酸性或嗜两性细胞质并且有少许多形核，偶见显著的核仁。这些肿瘤几乎总是与结节性硬化相关。
HP:0009719	体壁的异常	Hypomelanotic macules	Hypomelanotic macules (&quot;ash leaf spots&quot;) are white or lighter patches of skin that may appear anywhere on the body and are caused by a lack of melanin. White ash leaf-shaped macules are considered to be characteristic of tuberous sclerosis.	色素脱失斑	色素脱失斑（“灰叶斑”）是由皮肤色素减退或脱失造成的白色或浅色的斑片，可发生于全身任何部位。灰白树叶形色素脱失斑是结节性硬化症的皮损特征。
HP:0009720	肿瘤,头部和颈部的异常,体壁的异常	Adenoma sebaceum	The presence of a `sebaceous adenoma` (MPATH:230) with origin in the `sebum secreting cells` (CL:000031) of the `skin` (FMA:7163).	皮脂腺腺瘤	存在起源于皮肤皮脂分泌细胞的皮脂腺瘤
HP:0009721	结缔组织异常,体壁的异常	Shagreen patch	A plaque representing a connective-tissue nevus. Connective tissue naevi are uncommon skin lesions that occur when the deeper layers of the skin do not develop correctly or the components of these layers occur in the wrong proportion. Shagreen patches are oval-shaped and nevoid, skin-colored or occasionally pigmented, smooth or crinkled, The word shagreen refers to a type of roughened untanned leather.	鲨鱼皮样斑	结缔组织痣的特征性斑块。结缔组织痣是一种罕见皮损，由深层皮肤的不正常发育或者皮层构成错误比例所致。鲨鱼皮斑呈椭圆形痣样，可表现为正常肤色或偶见色素沉着，表面光滑或有皱纹，鲨鱼皮一词指一种粗糙未经加工的皮革。
HP:0009722	结缔组织异常,骨骼系统异常,头部和颈部的异常	Dental enamel pits	The presence of small depressions in the dental enamel.	牙釉质凹陷	牙釉质内存在小的凹陷。
HP:0009723	体壁的异常	Abnormality of the subungual region	A lesion located beneath a fingernail or toenail.	甲下组织异常	位于指（趾）甲下方的病变。
HP:0009724	肿瘤,体壁的异常	Subungual fibromas	The presence of fibromata beneath finger or toenails.	甲下纤维瘤	存在于指甲或趾甲下方的纤维瘤。
HP:0009725	肿瘤,泌尿生殖系统异常	Bladder neoplasm	The presence of a `neoplasm` (MPATH:218) of the `urinary bladder` (FMA:15900).	膀胱肿瘤	膀胱发生肿瘤。
HP:0009726	肿瘤,泌尿生殖系统异常	Renal neoplasm	The presence of a `neoplasm` (MPATH:218) of the `kidney` (FMA:7203).	肾肿瘤	肾形成肿瘤。
HP:0009727	眼部异常	Achromatic retinal patches	Areas of the retina lacking pigmentation.	视网膜色素缺失斑块	视网膜色素缺乏的区域。
HP:0009728	肿瘤,肌肉组织异常	Neoplasm of striated muscle	A benign or malignant `neoplasm` (MPATH:218) (tumour) originating in striated muscle, either skeletal muscle or cardiac muscle.	横纹肌肉瘤	起源于横纹肌的良性或恶性肿瘤(MPATH:218)（肿瘤），包括骨骼肌和心肌。
HP:0009729	肿瘤,心血管系统异常,肌肉组织异常	Cardiac rhabdomyoma	A benign tumor of cardiac striated muscle.	心脏横纹肌瘤	心脏横纹肌的良性肿瘤。
HP:0009730	肿瘤,肌肉组织异常	Rhabdomyoma	A benign tumor of striated muscle.	横纹肌瘤	横纹肌的良性肿瘤。
HP:0009731	肿瘤,神经系统异常	Cerebral hamartomata	The presence of a `hamartoma` (HP:0010566) of the `cerebrum` (FMA:62000).	脑错构瘤	在大脑（FMA:62000）出现的错构瘤（HP:0010566）。错构瘤即正常组织不正常发育形成的类瘤样畸形或间叶性肿瘤。
HP:0009732	肿瘤,神经系统异常,体壁的异常	Plexiform neurofibroma	A neurofibroma in which Schwann cells proliferate inside the nerve sheath, producing an irregularly thickened, distorted, tortuous structure.	丛状神经纤维瘤	#####
HP:0009733	肿瘤,神经系统异常	Glioma	The presence of a `glioma` (MPATH:249), which is a `neoplasm` (MPATH:218) of the `central nervous system` (FMA:55675) originating from a glial cell (astrocytes or oligodendrocytes).	神经胶质瘤	`胶质细胞瘤` (MPATH:249)是起源于神经胶质细胞（星形胶质细胞或少突胶质细胞）的`中枢神经系统`(FMA:55675)`新生物(MPATH:218)。
HP:0009734	肿瘤,神经系统异常	Optic glioma	A `glioma` (HP:0009733) originating in the `optic nerve` (FMA:50863) or `optic chiasm` (FMA:62045).	视神经胶质瘤	一种起源于视神经或视交叉的视神经胶质瘤。
HP:0009735	肿瘤,神经系统异常,体壁的异常	Spinal neurofibromas	Neurofibromas originating in the spine.	脊髓神经纤维瘤	脊髓神经纤维瘤起源于脊柱内背侧脊神经根，呈向心性生长时亦可产生软膜下浸润,首发症状最常见者为神经根痛，其次为感觉异常和运动障碍。
HP:0009736	肢体异常,骨骼系统异常	Tibial pseudoarthrosis	Pseudarthrosis, or &quot;false joint&quot; of the tibia is the result of a developmental failure in the tibia progressing to spontaneous fracture and subsequent fibrous nonunion. The fracture is rarely present at birth but commonly develops during the first 18 months of life.	胫骨假关节	胫骨的“假关节”是胫骨发育进程不足导致的，自发骨折后发生纤维状骨不连的结果。骨折在出生时很少见，但在出生后18个月内发生。
HP:0009737	肿瘤,头部和颈部的异常,眼部异常	Lisch nodules	The presence of pigmented, oval and dome-shaped raised hamartomatous nevi of the `iris` (FMA:58235)..	Lisch结节	虹膜上的色素性，椭圆形，圆顶形（FMA:58235）的错构瘤痣..
HP:0009738	耳部异常	Abnormality of the antihelix	An abnormality of the `antihelix` (FMA:60995).	对耳轮异常	“对耳轮”(FMA:60995)的异常。
HP:0009739	耳部异常	Hypoplasia of the antihelix	Developmental hypoplasia of the `antihelix` (FMA:60995).	对耳轮发育不全	“对耳轮”(FMA:60995)在发育上的不完全。
HP:0009740	头部和颈部的异常	aplasia of the parotid gland	Absence of the parotid gland.	腮腺未发育	没有腮腺。
HP:0009741	泌尿生殖系统异常	Nephrosclerosis	Nephrosclerosis refers to thickening or scarring (&quot;sclerosis&quot;) resulting from damage to the renal arterioles, also referred to as arteriosclerosis of the kidney arteries.	肾硬化	肾硬化指肾动脉受损坏所致的肾动脉壁增厚或瘢痕形成（“硬化”），也被称为肾动脉动脉硬化。
HP:0009742	骨骼系统异常	Stiff shoulders	Shoulder joint stiffness is a perceived sensation of tightness in shoulders when attempting to move them after a period of inactivity.	肩部僵硬	肩关节僵硬是一种在一段时间不活动后试图活动肩部时肩膀发紧的感觉。
HP:0009743	头部和颈部的异常,体壁的异常	Distichiasis	Double rows of eyelashes.	双行睫	双行睫毛。
HP:0009744	神经系统异常	Abnormality of the spinal dura mater	An abnormality of the spinal dura mater, which is the outermost of the three layers of the meninges surrounding the spinal cord.	脊髓硬膜异常	脊髓硬脊膜即包绕脊髓的三层膜中最外层膜，因各种原因引起的异常。
HP:0009745	神经系统异常	Spinalarachnoid cyst	Presence of arachnoid cysts of the spinal canal extradurally in the epidural space.	脊髓蛛网膜囊肿	位于硬膜外腔的椎管内蛛网膜囊肿。
HP:0009746	头部和颈部的异常	Thick nasal septum	Abnormally increased thickness of the nasal septum.	鼻中隔增厚	鼻中隔异常增厚。
HP:0009747	体壁的异常	Lumbosacral hirsutism	Abnormally increased hair growth in the lumbosacral region.	腰骶部多毛症	腰骶部毛发异常增多。
HP:0009748	耳部异常	Large earlobe	Increased volume of the earlobe, that is, abnormally prominent `ear lobules` (FMA:60984).	大耳垂	耳垂的体积增加，也就是，异常突出的`耳垂（FMA: 60984）。
HP:0009751	肌肉组织异常,肢体异常	aplasia of the pectoralis major muscle	Absence of the pectoralis major muscle.	胸大肌不发育	胸大肌的缺如。
HP:0009752	骨骼系统异常,头部和颈部的异常	Cleft in skull base	A bony defect in the skull base.	颅底裂	颅底骨性缺陷
HP:0009754	骨骼系统异常,头部和颈部的异常	Fibrous syngnathia	Complete or nearly complete soft tissue fusion of the alveolar ridges.	纤维性连颌畸形	牙槽脊完全或接近完全的软组织融合。
HP:0009755	头部和颈部的异常	Ankyloblepharon	Partial fusion of the upper and lower eyelid margins by single or multiple bands of tissue.	睑缘粘连	上下眼睑边缘部分融合成单个或多个带状组织。
HP:0009756	骨骼系统异常,体壁的异常	Popliteal pterygium	A pterygium (or pterygia) occuring in the popliteal region (the back of the knee).	腘翼状胬肉	翼状胬肉发生腘窝区（膝盖背面）。
HP:0009757	骨骼系统异常,体壁的异常	Intercrural pterygium	A pterygium (or pterygia) in the intercrural (groin) region.	腹股沟翼状胬肉	翼状胬肉发生在腹股沟区域。
HP:0009758	体壁的异常	Pyramidal skinfold extending from the base to the top of the nails	Pyramidal skinfold extending from the base to the top of the nails is a rare and distinctive anomaly seen in popliteal pterygia syndrome.	甲近端向远端锥形分布的皮褶	从甲近端向远端呈锥行分布的皮褶是一种具有特异性的罕见症状，见于腘翼状胬肉综合征。
HP:0009759	骨骼系统异常,体壁的异常	Neck pterygia	Pterygia affecting the neck.	颈部翼状胬肉	翼状胬肉影响到颈部。
HP:0009760	骨骼系统异常,体壁的异常	Antecubital pterygium	Pterygium affecting the elbow. This is a cutaneous web that can lead to severe flexion contracture of the elbow joint. Antecubital pterygium can be unilateral, bilateral, symmetric, or asysmmetric.	肘前翼状胬肉	翼状胬肉影响肘部。这是一种可导致肘关节严重屈曲挛缩的皮肤蹼。肘前胬肉可为单侧，双侧，对称性或非对称性。
HP:0009761	骨骼系统异常	Anterior clefting of vertebral bodies	Anterior schisis (cleft or cleavage) of vertebral bodies.	椎体前缘裂隙	椎体前劈裂（裂或裂解）。
HP:0009762	体壁的异常	Facial wrinkling	Excessive wrinkling of the skin of the face.	面部皱褶	面部皮肤皱褶过多。
HP:0009763	神经系统异常,骨骼系统异常	Limb pain	Chronic pain in the limbs with no clear focal etiology.	肢体疼痛	四肢没有明确病灶的慢性疼痛。
HP:0009765	头部和颈部的异常	Low hanging columella	Columella extending inferior to the level of the nasal base, when viewed from the side.	鼻小柱下垂	从侧面观察时，鼻小柱延伸超过鼻基位置。
HP:0009767	肢体异常,骨骼系统异常	aplasia/Hypoplasia of the phalanges of the hand	Small or missing phalangeal bones of the fingers of the hand.	指骨不发育或发育低下	手指的指骨小或者缺如。
HP:0009768	肢体异常,骨骼系统异常	Broad phalanges of the hand	Increased width of the phalanges of the hand.	手的指骨变宽	手指骨宽度增加。
HP:0009769	肢体异常,骨骼系统异常	Bullet-shaped phalanges of the hand	The presence of short and wide phalanges which taper distally (&quot;bullet shaped&quot;).	子弹形的手指骨	子弹形指骨是指指骨短而宽逐渐向远端变细。
HP:0009770	肢体异常,骨骼系统异常	Curved phalanges of the hand	#####	手指骨弯曲	#####
HP:0009771	肢体异常,骨骼系统异常	Osteolytic defects of the phalanges of the hand	Dissolution or degeneration of bone tissue of the phalanges of the hand.	指骨溶骨缺陷	手的指骨骨骼组织的变性或者溶解。
HP:0009772	肢体异常,骨骼系统异常	Patchy sclerosis of finger phalanx	Uneven (irregular) increase in bone density of one or more of the phalanges of the hand.	手指指骨斑片状硬化	一个或多个手的指骨的骨密度不均匀的（不规则）增加。
HP:0009773	肢体异常,骨骼系统异常	Symphalangism affecting the phalanges of the hand	Fusion of two or more phalangeal bones of the hand.	手指的指关节粘连	手指的两个或多个指骨的融合。
HP:0009774	肢体异常,骨骼系统异常	Triangular shaped phalanges of the hand	#####	手指三角形指骨	#####
HP:0009775	胎儿产前发育或出生异常	Amniotic constriction ring	Annular constrictions around the digits, limbs, or trunk, occurring congenitally (sometimes causing intrauterine autoamputation) and also associated with a wide variety of disorders. Constrictive amniotic bands are the result of primary amniotic rupture, which can lead to entanglement of fetal tissue (especially limbs) in fibrous amniotic strands.	羊膜带狭窄环	缩窄的羊膜缠绕胎儿手指/脚趾、四肢或躯干，造成先天性缺陷（如宫内截肢）并与多种疾病相关。羊膜束带由部分羊膜脱落，纤维性羊膜带缠绕胎儿组织（尤其是四肢）造成。
HP:0009776	肢体异常,骨骼系统异常	Adactyly	The absence of all phalanges of all the digits of a limb and the associated soft tissues.	先天性无指	所有手指指骨和相关的软组织都缺如。
HP:0009777	肢体异常,骨骼系统异常	Absent thumb	Absent  `thumb`(FMA:24938), i.e., the absence of both phalanges of a thumb and the associated soft tissues.	拇指缺失	`拇指`缺如（FMA:24938），比如，拇指指骨和相关的软组织都缺如。
HP:0009778	肢体异常,骨骼系统异常	Short thumb	Hypoplasia (congenital reduction in size) of the `thumb` (FMA:24938).	短拇指	`拇指`发育不全（先天性缩小）（FMA:24938）。
HP:0009779	肢体异常,骨骼系统异常	3-4 toe syndactyly	3-4 toe syndactyly means the fusion of third and fouth toe.	第三、四脚趾并趾	第三、四脚趾并趾是指第三、四脚趾融合。
HP:0009780	骨骼系统异常	Iliac horns	Horn-like malformations of the iliac crests with symmetrical bilateral central posterior iliac processes. A characteristic finding in the Nail-Patella syndrome. Iliac horns are visible on X-ray and may be palpable, but are asymptomatic.	髂骨角	伴随双侧对称性中央后髂发育的髂嵴喇叭状畸形。在指甲-髌骨综合症中的特殊表现。髂骨角在X线上可见，可能触及，但无症状。
HP:0009781	眼部异常	Lester&#39;s sign	A zone of darker pigmentation around the central part of the `iris` (FMA:58235) with a roughly cloverleaf or flower shape.	Lester的标志	呈三叶草或花朵形状:围绕&#39;虹膜`（58235 FMA）中心部分的暗色色素沉着区域。
HP:0009782	肌肉组织异常,肢体异常	aplasia/Hypoplasia of the biceps	Absence or underdevelopment of the biceps muscle.	肱二头肌不发育或发育低下	肱二头肌的不发育或者缺如。
HP:0009783	肌肉组织异常,肢体异常	Biceps aplasia	Absence of the biceps muscle.	肱二头肌不发育	肱二头肌缺如。
HP:0009784	肌肉组织异常,肢体异常	aplasia/Hypoplasia of the triceps	Absence or underdevelopment of the triceps muscle.	肱三头肌不发育或发育低下	肱三头肌不发育或者缺如。
HP:0009785	肌肉组织异常,肢体异常	Triceps aplasia	Absence of the triceps muscle.	肱三头肌不发育	肱三头肌缺如。
HP:0009786	肌肉组织异常,肢体异常	aplasia/Hypoplasia of the musculature of the thigh	Absence or underdevelopment involving the musculature of the thigh.	大腿肌肉组织不发育或发育低下	大腿肌肉组织缺如或欠发达。
HP:0009787	肌肉组织异常,肢体异常	aplasia/Hypoplasia of the quadriceps	Absence or underdevelopment of the quadriceps muscle.	股四头肌不发育或发育低下	股四头肌不发达或者缺如。
HP:0009788	肌肉组织异常,肢体异常	Quadriceps aplasia	Absence of the quadriceps muscle.	股四头肌不发育	股四头肌肌肉缺如。
HP:0009789	消化系统异常,体壁的异常,免疫系统异常	Perianal abscess	The presence of an abscess located around the anus.	肛周脓肿	位于肛门周围的脓肿。
HP:0009790	骨骼系统异常	Hemisacrum (S2-S5)	A hemisacral defect involving the sacral vertebrae S2 to S5.	半骶骨（S2-S5）	半骶骨缺陷累及骶椎S2到S5。
HP:0009791	骨骼系统异常	Bifid sacrum	Presence of a `bifid` (PATO:0001572) `sacral bone` (FMA:16202).	骶骨裂	存在骶骨（FMA:16202）裂（PATO:0001572）。
HP:0009792	肿瘤,泌尿生殖系统异常	Teratoma	The presence of a `teratoma` (MPATH:322).	畸胎瘤	出现畸胎瘤。
HP:0009793	肿瘤,泌尿生殖系统异常,骨骼系统异常	Presacral teratoma	Presence of a teratoma anterior to the sacrum.	骶前畸胎瘤	骶骨前部形成畸胎瘤。
HP:0009794	头部和颈部的异常	Branchial anomaly	Congenital developmental defect arising from the primitive branchial apparatus.	鳃裂异常	源于原始鳃器的先天性发育缺陷。
HP:0009795	头部和颈部的异常	Branchial fistula	A congenital fistula in the neck resulting from incomplete closure of a branchial cleft.	鳃裂瘘管	由鳃裂闭合不完全引起的颈部先天性瘘管。
HP:0009796	头部和颈部的异常	Branchial cyst	A branchial cyst is a remnant of embryonic development resulting from a failure of obliteration of a branchial cleft and consists of a subcutaneous cystic mass. Cysts are located anterior or posterior to the ear or in the submandibular region.	鳃裂囊肿	鳃裂囊肿是由鳃裂闭合不成导致的胚胎发育残余，包括皮下囊性包块。囊肿位于耳朵或颌下区的前后。
HP:0009797	肿瘤,耳部异常	Cholesteatoma	Cholesteatoma is a benign but potentially destructive growth consisting of keratinizing epithelium located in the middle ear and/or mastoid process. In cholesteatoma, a skin cyst grows into the middle ear and mastoid. The cyst is not cancerous but can erode tissue and cause destruction of the ear.	胆脂瘤	胆脂瘤是一种位于中耳和/或乳突区含有角化上皮的良性但又有潜在破坏性生长的疾病。在胆脂瘤中，皮肤呈囊肿样长入中耳和乳突。囊肿不具有癌性，但能侵蚀组织，引起耳朵的破坏。
HP:0009798	内分泌系统异常	Euthyroid goiter	A "goiter" (HP:0000853) that is not associated with functional thyroid abnormalities.	甲状腺功能正常的甲状腺肿	不伴甲状腺功能异常的甲状腺肿大(HP:0000853)。
HP:0009799	消化系统异常,免疫系统异常	Supernumerary spleens	The presence of two or more accessory spleens.	多脾	两个或两个以上副脾的存在。
HP:0009800	内分泌系统异常,代谢紊乱/稳态失衡,胎儿产前发育或出生异常	Maternal diabetes	Maternal diabetes can either be a gestational, mostly type 2 diabetes, or a type 1 diabetes. Essential is the resulting maternal hyperglycemia as a non-specific teratogen, imposing the same risk of congenital malformations to pregnant women with both type 1 and type2 diabetes.	母体糖尿病	母体糖尿病是妊娠期的1型或2型糖尿病，2型最常见。本质是母体高血糖症是一种非特异性的致畸因素，对于孕妇来说不管是1型还是2型糖尿病都产生同样的先天性畸形的风险。
HP:0009802	肢体异常,骨骼系统异常	aplasia of the phalanges of the hand	Absence of one or more of the phalanges of the hand.	手的指骨不发育	手的一个或多个指骨缺如。
HP:0009803	肢体异常,骨骼系统异常	Short phalanx of finger	Short (hypoplastic) `phalanx of finger` (FMA:23914), affecting one or more phalanges.	手指的短指骨	`手指指骨`短（发育不全）（FMA:23914），累及一个或多个指骨。
HP:0009804	头部和颈部的异常	Reduced number of teeth	The presence of a `reduced number` (PATO:0001997) of `teeth` (FMA:12516) as in `Hypodontia` (HP:0000668) or as in `Anodontia` (HP:0000674).	牙齿数量减少	牙齿数量的减少，如缺齿或无齿。
HP:0009805	心血管系统异常	Low-output congestive heart failure	A form of heart failure characterized by reduced cardiac output. This may be seen in patients with heart failure owing to ischemic heart disease, hypertension, cardiomyopathy, and other causes.	低输出型充血性心力衰竭	一种心输出量减少的心力衰竭。可见于缺血性心脏病，高血压，心肌病以及其他原因所致导心衰患者。
HP:0009806	内分泌系统异常	Nephrogenic diabetes insipidus	A form of diabetes insipidus caused by failure of the kidneys to respond to vasopressin (AVP).	肾性尿崩症	尿崩症的一种，由于肾脏无法对血管加压素（AVP）发生反应导致。
HP:0009808	肢体异常,骨骼系统异常	Anomaly of the upper limb diaphyses	A structural abnormality of a diaphysis of the arm.	上肢骨干异常	手臂骨干的结构异常。
HP:0009809	肢体异常,骨骼系统异常	Abnormality of upper limb metaphysis	An anomaly of one or more metaphyses of the arms.	上肢干骺端异常	手臂一个或多个干骺端异常。
HP:0009810	肢体异常,骨骼系统异常	Abnormality of the joints of the upper limbs	#####	上肢关节异常	#####
HP:0009811	肢体异常,骨骼系统异常	Abnormality of the elbow	#####	肘部异常	#####
HP:0009812	肢体异常,骨骼系统异常	Amelia involving the upper limbs	`Amelia` (HP:0009827) of one or both upper limbs.	上肢缺肢	一个或两个上肢的`缺肢`（HP:0009827）。
HP:0009813	肢体异常,骨骼系统异常	Upper limb phocomelia	Missing or malformed long bones of the upper limbs with the distal parts (the hands) connected to the variably shortened or even absent upper extremity, leading to a flipper-like appearance, as opposed to other forms of limb malformations were either the whole limb is missing (such as amelia), or the distal part of a limb is absent (peromelia).	上肢短肢畸形（海豹肢症）	上肢的长骨缺失或畸形，上肢远端长度不等甚至缺如，外观似海豹肢体，这与其他形式的肢体畸形不同，其他畸形表现为整个肢体缺如（无肢），或肢远端部分缺如（四肢不全）。
HP:0009814	肢体异常,骨骼系统异常	Upper limb peromelia	`Peromelia` (HP:0009828) affecting only the upper limbs. That is, the distal parts of the arm are missing leading to stump formation.	上肢不全	肢体发育不全只累及上肢。手臂的远端部分缺失形成残肢。
HP:0009815	肢体异常,骨骼系统异常	aplasia/hypoplasia of the extremities	Absence (due to failure to form) or underdevelopment of the extremities.	四肢不发育或发育低下	四肢不发达或者缺如（由于形成失败）。
HP:0009816	肢体异常,骨骼系统异常	Lower limb undergrowth	Leg shortening because of underdevelopment of one or more bones of the lower extremity.	下肢发育不全	下肢缩短是因为下肢的一个或多个骨骼发育低下。
HP:0009817	肢体异常,骨骼系统异常	aplasia involving bones of the lower limbs	#####	下肢骨骼不发育	#####
HP:0009818	肢体异常,骨骼系统异常	Amelia involving the lower limbs	`Amelia` (HP:0009827) of one or both legs.	下肢缺肢	一个或两个腿`缺肢`（HP:0009827）。
HP:0009819	肢体异常,骨骼系统异常	Lower limb phocomelia	`Phocomelia` (HP:0009829) affecting only the lower limbs.	下肢短肢畸形	`短肢畸形`（HP:0009829）只影响下肢。
HP:0009820	肢体异常,骨骼系统异常	Lower limb peromelia	`Peromelia` (HP:0009828) affecting only the lower limbs.  That is, the distal parts of the leg are missing leading to stump formation.	下肢发育不全	`发育不全`（HP:0009828）只影响下肢。也就是说，下肢的远端部分缺失导致残端形成。
HP:0009821	肢体异常,骨骼系统异常	Forearm undergrowth	Forearm shortening because of underdevelopment of one or more bones of the forearm.	前臂发育不良	由于前臂的一个或多个骨骼不发达而造成前臂缩短。
HP:0009822	肢体异常,骨骼系统异常	aplasia involving forearm bones	#####	前臂骨不发育	#####
HP:0009823	肢体异常,骨骼系统异常	aplasia involving bones of the upper limbs	#####	上肢骨骼不发育	#####
HP:0009824	肢体异常,骨骼系统异常	Upper limb undergrowth	Arm shortening because of underdevelopment of one or more bones of the upper extremity.	上肢发育不全	由于上肢的一个或多个骨骼欠发育导致上肢缩短。
HP:0009825	肢体异常,骨骼系统异常	aplasia involving bones of the extremities	#####	四肢骨不发育	#####
HP:0009826	肢体异常,骨骼系统异常	Limb undergrowth	Limb shortening because of underdevelopment of one or more bones of the extremities.	肢体发育不全	由于末端的一个或多个骨骼不发达而导致肢体缩短。
HP:0009827	肢体异常,骨骼系统异常	Amelia	Congenital absence (aplasia) of one or more limbs.	缺肢	一个或多个肢体的先天性缺如（不发育）。
HP:0009828	肢体异常,骨骼系统异常	Peromelia	The distal parts of the limbs are missing leading to a stump formation.	四肢不全	四肢的远端部分丢失导致残端形成。
HP:0009829	肢体异常,骨骼系统异常	Phocomelia	Missing or malformed long bones of the extremities with the distal parts (such as hands and/or feet) connected to the variably shortened or even absent extremity, leading to a flipper-like appearance, as opposed to other forms of limb malformations were either the hole limb is missing (such as amelia), or the distal part of a limb is absent (peromelia).	短肢畸形	肢体的长骨缺失或畸形，肢体远端长度不等甚至缺如，外观似海豹肢体，这与其他形式的肢体畸形不同，其他畸形表现为整个肢体缺失（无肢），或肢体远端部分缺如（四肢不全）。
HP:0009830	神经系统异常	Peripheral neuropathy	Peripheral neuropathy is a general term for any disorder of the `peripheral nervous system` (FMA:9903). The main clinical features used to classify peripheral neuropathy are distribution, type (mainly demyelinating versus mainly axonal), duration, and course.	周围神经病	周围神经病是外周神经系统疾病的总称，主要根据其临床特征包括分布、分型（主要累及髓鞘还是轴索）、持续时间、病程而分类的。
HP:0009831	神经系统异常	Mononeuropathy	A focal lesion of a single peripheral nerve. Damage to a sensory nerve is accompanied by sensory impairment of all modalities in the affected anatomic distribution.	单神经病	单一周围神经的局灶病变。损坏感觉神经则伴随受累解剖分布区域所有形式的感觉障碍。
HP:0009832	肢体异常,骨骼系统异常	Abnormality of the distal phalanx of finger	Any anomaly of `distal phalanx of finger` (FMA:75818).	手指末节指骨异常	手指末节指骨的任何异常。
HP:0009833	肢体异常,骨骼系统异常	Abnormality of the middle phalanges of the hand	An anomaly of `middle phalanx of finger` (FMA:75817).	手中节指骨异常	中节指骨的异常。
HP:0009834	肢体异常,骨骼系统异常	Abnormality of the proximal phalanges of the hand	#####	手近节指骨异常	#####
HP:0009835	肢体异常,骨骼系统异常	aplasia/Hypoplasia of the distal phalanges of the hand	Absence or underdevelopment of the distal phalanges.	手的远端指骨不发育或发育低下	手指远端指骨的不发达或者发育低下。
HP:0009836	肢体异常,骨骼系统异常	Broad distal phalanx of finger	Abnormally wide (broad) `distal phalanx of finger` (FMA:75818).	手指末节指骨变宽	`手指远节指骨`（FMA:75818）宽度（宽）异常。
HP:0009837	肢体异常,骨骼系统异常	Bullet-shaped distal phalanges of the hand	#####	子弹形的手末节指骨	#####
HP:0009838	肢体异常,骨骼系统异常	Curved distal phalanges of the hand	#####	手末节指骨弯曲	#####
HP:0009839	肢体异常,骨骼系统异常	Osteolytic defects of the distal phalanges of the hand	#####	手远端指骨缺陷	#####
HP:0009840	肢体异常,骨骼系统异常	Patchy sclerosis of distal phalanx of finger	Uneven (irregular) increase in bone density of the distal phalanges of the hand.	手末节指骨斑片状硬化	手的远端指骨的骨密度不均匀的（不规则）的增加。
HP:0009843	肢体异常,骨骼系统异常	aplasia/Hypoplasia of the middle phalanges of the hand	#####	手中间指骨不发育或发育低下	#####
HP:0009844	肢体异常,骨骼系统异常	Broad middle phalanx of finger	Increased width of the `middle phalanx of finger` (FMA:75817).	手指中节指骨宽	`手指中节指骨`的宽度增加（FMA:75817）。
HP:0009845	肢体异常,骨骼系统异常	Bullet-shaped middle phalanges of the hand	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	子弹形的手指中节指骨	子弹形指骨是指短而宽逐渐向远端变细。子弹形指骨缺乏正常的骨干狭窄。
HP:0009846	肢体异常,骨骼系统异常	Curved middle phalanges of the hand	#####	手中节指骨弯曲	#####
HP:0009847	肢体异常,骨骼系统异常	Osteolytic defects of the middle phalanges of the hand	#####	手中节指骨溶骨缺陷	#####
HP:0009848	肢体异常,骨骼系统异常	Patchy sclerosis of middle phalanx of finger	Uneven (irregular) increase in bone density of one or more of the middle phalanges of the hand.	手中节指骨斑片状硬化	手的一个或更多中间指骨的骨密度不均匀的（不规则）的增加。
HP:0009849	肢体异常,骨骼系统异常	Symphalangism of middle phalanx of finger	Fusion of a middle phalanx of a finger with another bone.	手指中节指关节粘连	手指中间指骨与其他骨融合。
HP:0009850	肢体异常,骨骼系统异常	Triangular shaped middle phalanges of the hand	#####	手指三角形中节指骨	#####
HP:0009851	肢体异常,骨骼系统异常	aplasia/Hypoplasia of the proximal phalanges of the hand	#####	手的近端指骨不发育或发育低下	#####
